Date_Extracted,Grade_Level,Unit,Resource,Location,Instructional_Moment,Page_Numbers,Improvement_Description,Improvement_Type,Date_Updated
2025-12-06,Grade 8,Unit 8,Teacher Guide,"Section D, Lesson 17, Required Materials",,196,Materials to Copy: Some Numbers Are Rational Cards are listed as Activity 2. This has been updated to Activity 1. This also applies to the Unit Materials page.,,2025-09-02
2025-12-06,Algebra 1,Unit 1,Teacher Guide/student Workbook,"Section D, Lesson 10, Practice Problem 7, Teacher Guide/sw",,143,"The histogram has been updated to show the second bar reaching 9, not 10. Therefore, the total data points should be 25, not 26.",,2025-08-19
2025-12-06,Algebra 1,Unit 1,Teacher Guide,"Section A, Lesson 3 Cool-down",,47,"The student response for question 1 should show the vertical bar in the boxplot at 65, not 70.",,2025-08-19
2025-12-06,Algebra 1,Unit 1,Teacher Guide,"Section E, Lesson 16, Activity 2",,229,"The calculations in the Student Response are incorrect. Right-handed students' mean height should be 154.50cm, not 153.84cm and a standard deviation should be 40.50cm, not 41.67cm. For right-handed students, the new mean height should be 168.36cm, not 168.60cm with a standard deviation or 10.34cm, not 10.63cm.",,2025-08-19
2025-12-06,Algebra 1,Unit 1,Teacher Guide/student Workbook,"Section D, Lesson 13, Activity 2, Are You Ready For More? Teacher Guide/sw",,185-186,"""Look back at the tree data from the previous activity"" has been added before the first question in the Are You Ready for More section to clarify the situation.",,2025-08-19
2025-12-06,Algebra 1,Unit 1,Teacher Guide,"Section D, Lesson 9",,119-120,The Lesson Timeline should show the Warm-up as 10 minutes.,,2025-08-19
2025-12-06,Algebra 1,Unit 1,Teacher Guide,"Section D, Lesson 14, Activity 2, Problem 1",,196,The list of numbers has been updated to only include one instance of 796.,,2025-10-10
2025-12-06,Algebra 1,Unit 1,"Student Workbook, Section D, Lesson 11, Warm-up",,,89,The last number in the list of numbers for problem 2 has been updated from 10 to 101.,,2025-10-29
2025-12-06,Algebra 1,Unit 1,Teacher Guide,"Section D, Lesson 11, Practice Problems",,156,"In problem 2, the dot plot has been updated to remove the points at 2 and 9.",,2025-11-10
2025-12-06,Algebra 1,Unit 1,"Student Workbook, Section D, Lesson 11, Practice Problems",,,95,"In problem 2, the dot plot has been updated to remove the points at 2 and 9.",,2025-11-10
2025-12-06,Algebra 1,Unit 1,Teacher Guide,"Section D, Lesson 10, Activity 1",,132,"The last prompt in the launch instructions has been updated to ""How do your questions relate to the lesson goal?""",,2025-11-10
2025-12-06,Algebra 1,Unit 2,Teacher Edition: Lesson 11,"Activity 1; Student Response To Problem 2, First Bullet",,179,"Student response should be 12.5 for x, (12.5, 0).",,2025-07-25
2025-12-06,Algebra 1,Unit 2,"Student Workbook, Section B, Lesson 6",,,218,"In the Lesson Summary the sentence with equations in the last paragraph has been updated to ""This means that 2p=6.60 is not equivalent to 2p+0.50=6.10 .""",,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section A, Lesson 2, Practice Problem 6",,44,"Part B student answer has been updated to say ""The median is a better choice.""",,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide Section A,"Lesson 3, Practice Problem 7",,61,"The current problem stem asks for students to write an equation, where the solution given is only an expression. It has been updated to 225−20w=d .",,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section A, Lesson 3, Activity 2, Student Task Statement",,54,"There is a typo in item 1 of Activity 2, and has been updated to ""The table represents the relationship between the base length and the height of some...""",,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide/student Workbook,"Section C, Lesson 6, Practice Problem 6, Teacher Guide./sw",,110,"The variable is missing from the question. It has been updated to ""Which equation could represent the total price in dollars for n bananas?""",,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section B, Lesson 8, Activity 2",,132,"In the last equation, it should be m= p−124 9",,2025-09-10
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section B, Lesson 9, Lesson Summary",,148,"In the student lesson summary: when solving for x , it has been updated to say divide each side by 60 not 50; when solving for y it has been updated to say divide each side by 150, not 50.",,2025-11-12
2025-12-06,Algebra 1,Unit 2,"Student Workbook, Section B, Lesson 9, Lesson Summary",,,252,"In the student lesson summary: when solving for x , it has been updated to say divide each side by 60 not 50; when solving for y it has been updated to say divide each side by 150, not 50.",,2025-11-12
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section B, Lesson 10, Activity 1",,159,"For equation 3, problem 5's sample response has been updated to - 1 4 .",,2025-11-12
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section C, Lesson 12, Practice Problem 9",,213,"Practice Problem 9 comes from Unit 2, Lesson 11",,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section C, Lesson 13, Practice Problem 7",,225,"Part A has been updated to: a. What was Elena's mistake? [Student Response} In the second line, Elena wrote 20y instead of −20y .",,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section C, Lesson 15, Warm-up",,246,1c has been updated to: Add the equation 4+3=7 to the equation 50+1=51 .,,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section C, Lesson 15, Practice Problem 5",,258,"The second equation in the system of equations has been updated to 3x−5y=4 . Additionally, the student response should show B, C, and E circled.",,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section C, Lesson 16, Practice Problem 3",,275,The first equation in the system of equations at the top has been updated to y=3x .,,2025-08-20
2025-12-06,Algebra 1,Unit 2,Teacher Guide,"Section C, Lesson 14, Activity 2",,234,The student response for 1b. System B has been updated to 3x=15 .,,2025-11-19
2025-12-06,Algebra 1,Unit 2,"Student Workbook, Section C, Lesson 13, Activity 2",,,301,The second and third systems have been updated to: { p=2m+10 2m–2p=-6 { w+ 1 7 z=4 z=3w–2,,2025-11-19
2025-12-06,Algebra 1,Unit 2,"Student Workbook, Section C, Lesson 13, Practice Problem 8a",,,309,"The equation for Problem 8a. should be y=10−2x , not y=10−2",,2025-11-20
2025-12-06,Algebra 1,Unit 2,"Student Workbook, Section C, Lesson 12, Practice Problem 2a. Ii",,,309,"The coordinate point for the Problem 2a.ii should be (4,2.5) and not (4.2,2.5) .",,2025-11-20
2025-12-06,Algebra 1,Unit 3,Teacher Guide,"Sections B, C, And D, Lessons 5, 6, 8, And 10, Instructional Routine",,,"The Instructional Routine throughout the Unit has been updated from ""Fix It"" to ""Fit It"".",,2025-08-21
2025-12-06,Algebra 1,Unit 3,Teacher Guide,"Section B, Lesson 5, Activity 2, Synthesis",,96,"The last question of the Activity 2 Synthesis has been updated to ask ""Why is the slope the same in scatter plot A and scatter plot E?"" The letter F has been replaced with E.",,2025-09-10
2025-12-06,Algebra 1,Unit 3,Teacher Guide,"Section B, Lesson 5, Activity 1, Problem 1b",,90,"Problem 1b student response should be E, B, C, A, and F; not E, B, A and F, C.",,2025-09-10
2025-12-06,Algebra 1,Unit 4,Teacher Guide,"Section C, Lesson 8, Warm-up",,158,"The narrative has been updated to give directions for Which 3 Go Together, not Which One Doesn't Belong.",,2025-09-23
2025-12-06,Algebra 1,Unit 4,Teacher Guide,"Section C, Lesson 9, Activity 1, Problem 1",,179,The student response for Tyler has been updated to Bus and Car.,,2025-09-23
2025-12-06,Algebra 1,Unit 4,Teacher Guide,"Section B, Lesson 6, Practice Problems, Problem 1",,128,The variables q and d have been switched in options B and D. This does not effect the Student Workbook.,,2025-09-23
2025-12-06,Algebra 1,Unit 4,Teacher Guide,"Section B, Lesson 5, Practice Problems, Problem 6c",,110,The equation has been updated to x+y=2.25 .,,2025-09-23
2025-12-06,Algebra 1,Unit 4,Teacher Guide,"Section A, Lesson 3, Lesson Summary",,58,The equation in the middle of the page has been updated to 48+5w=130 .,,2025-09-23
2025-12-06,Algebra 1,Unit 4,"Student Workbook, Section A, Lesson 3, Lesson Summary",,,170,The equation in the middle of the page has been updated to 48+5w=130 .,,2025-09-23
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section A, Lesson 2, Warm-up, Problem 3",,35,The student response for day 3 has been updated to 1.2 feet from the post.,,2025-08-31
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section A, Lesson 2, Practice Problems, Problem 1",,43,"This has been updated to reflect the correct answers, 2, 4, 3, 1.",,2025-08-31
2025-12-06,Algebra 1,Unit 5,"Student Workbook, Section E, Lesson 19, Practice Problems, Problem 3",,,208,Multiple updates were made in this problem. Option F is now y= x−2 3 . Option 1 is now x= y+2 3 . Option 2 is now x= y+3 2 .,,2025-09-23
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section E, Lesson 17, Lesson Synthesis",,277,"The first bullet has been updated to represent weeks with w . ""Let's say d=7w represent a function that gives the number of days, d , in w weeks.""",,2025-09-24
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section D, Lesson 14, Warm-up",,231,"The last bullet has been updated to fix the error. ""When the actual temperature in Toronto is 0°C, y is “the distance of x from 0,” which can be written as y=|x−0| , or simply y=|x| .""",,2025-09-24
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section C, Lesson 11, Activity 2, Problem 1",,183,The answer has been updated to H(0)=6 .,,2025-09-24
2025-12-06,Algebra 1,Unit 5,Teacher Guide,Unit Materials,,4,The Unit Materials have been updated for this unit.,,2025-09-24
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section E, Lesson 17, Cool-down, Problem 2",,280,The student response has been updated to C=K−273.15 .,,2025-09-24
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section F, Lesson 20, Activity 2",,318,"In the Are You Ready for More, the student response for the function has been updated to 279.9−19.3t .",,2025-09-24
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section C, Checkpoint",,160,"Problem 1 has been changed to C(x)=6 for 12<x≤18 , so all positive x values are defined.",,2025-10-25
2025-12-06,Algebra 1,Unit 5,Teacher Guide,Glossary,,335,The definition for dependent variable has been updated to include x and y in the bullet points.,,2025-11-24
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Mid-unit Assessment, Problem 7",,156,The graph has been updated.,,2025-11-25
2025-12-06,Algebra 1,Unit 5,Teacher Guide,"Section C, Lesson 12, Warm-up, Synthesis",,195,The second instance of p(w) has been updated to: p(w)={ 0.50w 4 if if 0<w≤8 8<w≤12,,2025-11-26
2025-12-06,Algebra 1,Unit 6,Teacher Guide,Check Your Readiness - Pre-unit Diagnostic Assessment,,8-9,Added Addressing Standard 7.EE.B.3 in Problem 7 and Addressing Standard 7.EE.A.2 in Problem 8,,2025-07-25
2025-12-06,Algebra 1,Unit 6,"Student Workbook, Section B, Lesson 6, Are You Ready For More?",,,277,"The questions have been numbered. 1. Use technology to compute the best fit line... 2. Explain why, in this situation, an exponential model...",,2025-10-07
2025-12-06,Algebra 1,Unit 6,"Student Workbook, Section B, Lesson 6, Practice Problems",,,280,"Problem 3 now labels the questions a, b, and c.",,2025-10-07
2025-12-06,Algebra 1,Unit 6,Teacher Guide,"Section B, Lesson 4, Lesson Synthesis",,65,The student response for the second bullet has been updated to say 160 is 2 5 of 400.,,2025-10-07
2025-12-06,Algebra 1,Unit 6,"Teacher Guide, Section C, Lesson 7, Practice Problems, Problem 3",,,115,"The answer choices have been updated: A. 100 B. 800 C. 2,400 D. 6,400",,2025-10-07
2025-12-06,Algebra 1,Unit 6,"Student Workbook, Section C, Lesson 7, Practice Problems, Problem 3",,,290,"The answer choices have been updated: A. 100 B. 800 C. 2,400 D. 6,400",,2025-10-07
2025-12-06,Algebra 1,Unit 6,Teacher Guide,"Section C, Lesson 7, Activity 3, Problem 1a",,108,The equation p=a⋅bt has been updated to p=a⋅ b t .,,2025-10-07
2025-12-06,Algebra 1,Unit 6,Teacher Guide,"Section E, Lesson 21, Warm-up",,309,"In the Student Task Statement, the student response for the third bullet has been updated to (1.1 ) 2 =1.21 .",,2025-10-07
2025-12-06,Algebra 1,Unit 6,Teacher Guide,"Section E, Lesson 17, Warm-up",,252,"In the Student Task Statement, the student response to problem 3 has been updated to 192⋅ 75 100 =144 .",,2025-10-07
2025-12-06,Algebra 1,Unit 6,Teacher Guide,"Section E, Lesson 20, Activity 2",,299,The Student Task Statement sample response has been updated. The 3% option pays about 12.55% interest per year because there are 4 periods of 3 months each year and (1.03 ) 4 ≈1.1255 . The 4% option pays about 12.49% interest per year because there are 3 periods of 4 months each year and (1.04 ) 3 ≈1.1249 .,,2025-10-07
2025-12-06,Algebra 1,Unit 6,Teacher Guide,"Section F, Lesson 22, Cool-down",,334,The prompt for the Cool-down has been updated to represent the correct function for g ; it is now g(x)= 2 x .,,2025-10-07
2025-12-06,Algebra 1,Unit 6,Teacher Guide,Mid-unit Assessment,,246,"In Problem 7d, the prompt has been updated to say ""Graph the equation for values of t between 0 and 5.",,2025-10-07
2025-12-06,Algebra 1,Unit 6,Teacher Guide,"Section E, Lesson 18, Activity 1",,265,"In problem 3, the expression has been updated to [Year 3 Amount]=[Year 2 Amount]+[Year 2 Amount]⋅(0.18) . The "" "" have also been removed.",,2025-12-04
2025-12-06,Algebra 1,Unit 7,Teacher Guide,"Section D, Lesson 12, Activity 1",,196,"The Student Task Statement has been updated for Problem 1. The example expressions should have x 2 +10 , instead of x+10 . The Synthesis for this activity has been updated to use a g instead of a q . ""... g(2) is the lowest value.""",,2025-10-08
2025-12-06,Algebra 1,Unit 7,Teacher Guide,"End-of-unit Assessment, Problem 5",,293,"The graph in Problem 5 has been updated to show Lin's graph, not Clare's. The End-of-Unit Assessment has been updated in digital.",,2025-10-08
2025-12-06,Algebra 1,Unit 7,Teacher Guide,"Section A, Lesson 3",,48,The first Learning Target has been removed. It is a repeat of Lesson 4.,,2025-12-05
2025-12-06,Algebra 1,Unit 8,Teacher Guide,"Section B, Lesson 8, Activity 2",,118,"In the Activity Synthesis, the student response (3rd bullet) has been updated to include the x in the expression: (x+ 5 – √ )(x− 5 – √ ) .",,2025-10-08
2025-12-06,Algebra 1,Unit 8,Teacher Guide,"Section C, Lesson 11, Cool-down",,171,Problem 2 has been updated to x 2 +20x+100=81 .,,2025-10-08
2025-12-06,Algebra 1,Unit 8,"Student Workbook, Section C, Lesson 11, Summary",,,301,"Text has been added after the bold text ""A perfect square"". A perfect square is an expression that is something times itself. Usually we are interested in situations in which the something is a rational number or an expression with rational coefficients.",,2025-10-08
2025-12-06,Algebra 1,Unit 8,Teacher Guide,"Section E, Lesson 22, Lesson Synthesis",,329,The 6th bullet on the page has been updated. The last line of the expression has been split into two. Line 4: −3((x−4 ) 2 −4) Line 5: −3(x−4 ) 2 +12,,2025-10-08
2025-12-06,Algebra 1,Unit 8,Teacher Guide,"Section B, Lesson 10, Activity 2",,142,"In the Activity Synthesis, the equation x 2 + 3 4 + 1 8 has been updated to x 2 + 3 4 x+ 1 8 .",,2025-10-08
2025-12-06,Algebra 1,Unit 8,Teacher Guide,"Section B, Lesson 7, Activity 2",,104,Problem 2 of the Student Task Statement has been updated to x 2 +bx−100 .,,2025-10-08
2025-12-06,Algebra 1 Supports,Unit 1,Teacher Guide,"Section A, Lesson 2",,19,Addressing Standard has been updated from HS6.SP.B.4 to 6.SP.B.4,,2025-08-19
2025-12-06,Algebra 1 Supports,Unit 2,Teacher Guide,"Section B, Lesson 9",,199,Updated overall lesson timeline for Activity 1 to 20 minutes.,,2025-08-05
2025-12-06,Algebra 1 Supports,Unit 2,Teacher Guide,"Section D, Lesson 18",,278,Student response for problem 4 has been updated from y=-x−3 to y=-x−7 .,,2025-08-13
2025-12-06,Algebra 1 Supports,Unit 2,Teacher Guide,"Section B, Lesson 10, Activity 2, Problem 4",,214,"The x -axis is misaligned. It has been updated to read 1, 2, 3.",,2025-09-11
2025-12-06,Algebra 1 Supports,Unit 2,"Student Workbook, Section B, Lesson 10, Activity 2, Problem 4",,,115,"The x -axis is misaligned. It has been updated to read 1, 2, 3.",,2025-09-11
2025-12-06,Algebra 1 Supports,Unit 2,Teacher Guide,"Section B, Lesson 10, Activity 2, Problem 5",,215,"The y -axis has been updated to include 4,800 and the line has been updated.",,2025-11-21
2025-12-06,Algebra 1 Supports,Unit 2,"Student Workbook, Section B, Lesson 10, Activity 2, Problem 5",,,116,"The y -axis has been updated to include 4,800 and the line has been updated.",,2025-11-21
2025-12-06,Algebra 1 Supports,Unit 3,Teacher Guide,"Section C, Lesson 8",,67,Warm-up time has been updated from 20 minutes to 5 minutes.,,2025-08-15
2025-12-06,Algebra 1 Supports,Unit 3,Teacher Guide,"Section C, Lesson 8, Warm-up",,68,The x-axis in graphs A and B are incorrect. The 60 is overlaying the 40 in print. This has been corrected in digital.,,2025-09-11
2025-12-06,Algebra 1 Supports,Unit 3,"Student Workbook, Section C, Lesson 8, Warm-up",,,42,Graphs A and B show the x-axis is misaligned. the 20 and 40 have been shifted to the left.,,2025-09-11
2025-12-06,Algebra 1 Supports,Unit 5,"Student Workbook, Section D, Lesson 16, Activity 2",,,83,"In Problem 3, the expression has been updated to −5x<25 , instead of −5x<5 .",,2025-10-15
2025-12-06,Algebra 1 Supports,Unit 5,Teacher Guide,"Section D, Lesson 16, Activity 2",,122,"In Problem 3, the expression has been updated to −5x<25 , instead of −5x<5 .",,2025-10-15
2025-12-06,Algebra 1 Supports,Unit 5,Teacher Guide,"Section E, Lesson 17, Activity 2",,127,"- Bullet 1: In the sample response, replace y=12x with y = x/12 - Bullet 2: In the sample response, replace Multiply with Divide: “Divide the length in inches by 12” - Bullet 3: In the sample response, replace Divide with Multiply: “Multiply the length in feet by 12”",,2025-10-15
2025-12-06,Algebra 1 Supports,Unit 6,Teacher Guide,"Section E, Lesson 17, Activity 2, Problem 1a",,284,"The student response for 1a has been updated to 65(0.55) , instead of 63(0.55) .",,2025-10-15
2025-12-06,Algebra 1 Supports,Unit 8,Teacher Guide,"Section B, Lesson 5, Activity 2",,177,"In problem 2, the student response has been updated to 42 in the expression, instead of 422.",,2025-10-15
2025-12-06,Geometry,Unit 1,"Student Workbook Section A, Lesson 6",,,54,"In the Lesson Summary, information was added above the diagrams and below the bullet points to match changes in the Teacher Guide. ""These diagrams illustrate both types of constructions.""",,2025-08-19
2025-12-06,Geometry,Unit 1,"Student Workbook Section A, Lesson 2 Warm-up",,,15,"Student workbook has been updated to match the Teacher Guide labeling of a, b, c, d instead of 1, 2, 3, 4.",,2025-09-19
2025-12-06,Geometry,Unit 1,Teacher Guide,"Section B, Lesson 10, Activity 2",,148,"The Student Task Statement for question 2 is missing ""See diagram.""",,2025-08-19
2025-12-06,Geometry,Unit 1,"Student Workbook, Section C, Lesson 16, Practice Problem 7",,,,"The fourth image is mislabeled Translation 2, and has been corrected to Translation 4.",,2025-08-20
2025-12-06,Geometry,Unit 1,"Student Workbook, Section B, Lesson 10, Practice Problem 6",,,101,"The answer options a, d, and e are incomplete. They have been updated to a. AD=BD, d. EA+ED, and e. ED=DB",,2025-08-20
2025-12-06,Geometry,Unit 1,Teacher Guide,Unit-at-a-glance,,3,"Section D Goals are listed twice, Section E should say ""There are no new goals for this section.""",,2025-08-20
2025-12-06,Geometry,Unit 1,Teacher Guide,"Section B, Lesson 11, Warm-up",,159,"The second bullet in the Activity Synthesis for the Warm-up has been updated to say, ""What specific information do you need to find out the image of triangle TDG?""",,2025-09-03
2025-12-06,Geometry,Unit 1,Teacher Guide,"End-of-unit Assessment, Problem 2",,333,Construction C has been updated to show the A on the right side of the image as A'.,,2025-09-03
2025-12-06,Geometry,Unit 1,Teacher Guide,"Section A, Lesson 1, Activity 1",,20,"The sentence ""Identify a student who places point C..."" has been removed from the text. It is from the last edition.",,2025-11-10
2025-12-06,Geometry,Unit 2,Teacher Guide,"Section B, Lesson 8, Activity 3, Launch",,138,"The Launch has been updated. It now says, ""Display one of the correct, complete student-created diagrams from the Cool-down of the Side-Angle-Side Triangle Congruence lesson.""",,2025-08-20
2025-12-06,Geometry,Unit 2,Teacher Guide,"Section B, Lesson 11 Warm-up",,167,The Building On standard 7.G.B.8 has been replaced with HSG-CO.B.8,,2025-08-20
2025-12-06,Geometry,Unit 2,Teacher Guide,"Section B, Lesson 10, Lesson Overview",,151,"The timeline incorrectly shows the Warm-up as 5 minutes, when it should be 10 minutes.",,2025-08-20
2025-12-06,Geometry,Unit 2,Teacher Guide,"Section B, Lesson 11, Warm-up",,167,"In the Student Task Statement, the third bullet point should say: Segment DG is congruent to segment IK .",,2025-08-20
2025-12-06,Geometry,Unit 2,Teacher Guide,"Section A, Lesson 3, Warm-up",,45,"In the Student Task Statement, the 2nd bullet point has been revised to: Segment AB is longer than segment A ′ B ′ .",,2025-08-20
2025-12-06,Geometry,Unit 2,Teacher Guide,"Section A, Lesson 2, Warm-up",,28,"In the Student Task Statement question 2, the student response is wrong. It should say ""LYXB isn't the name of the quadrilateral shown. LXYB is one way to name that shape.""",,2025-08-20
2025-12-06,Geometry,Unit 2,"Student Workbook, Section A, Lesson 2, Activity 2",,,259,"Part 2's stem has been updated to segment KJ, instead of KL.",,2025-11-12
2025-12-06,Geometry,Unit 3,Teacher Guide,"Section B, Lesson 9, Activity 1",,137,"In the Activity Synthesis, the similarity of the triangles has been updated to ∠A≅∠C,∠DEA≅∠BEC,so△DEA∼△BEC .",,2025-08-21
2025-12-06,Geometry,Unit 3,Teacher Guide,Section B Lesson 12,,174,"In the timeline, Activity 2 has been updated to 15 minutes, from 10 minutes.",,2025-08-21
2025-12-06,Geometry,Unit 3,Teacher Guide,"Section B, Lesson 6, Activity 2",,93-94,"In the Activity 2 Launch, the statement has been updated to ""Translation and dilation takes △ABConto△FDE,so△ABC∼△FDE .""",,2025-08-21
2025-12-06,Geometry,Unit 3,Teacher Guide,"Section B, Lesson 6, Activity 2",,95,"In the student response for question 2 of the Student Task Statement, the △ is missing before ABE.. ""... △ABE∼△QRT .""",,2025-08-21
2025-12-06,Geometry,Unit 3,"Student Workbook, Section B, Lesson 11, Activity 1, Problem 2",,,104,The parallel side notation AC ← → ∥ MN ← → − is distorted.,,2025-11-17
2025-12-06,Geometry,Unit 3,"Student Workbook, Section A, Lesson 2, Practice Problem, Problem 4",,,22,The answer choice c. is corrected from 9 2 to 15 4 .,,2025-11-20
2025-12-06,Geometry,Unit 3,Teacher Guide,"Section A, Lesson 2, Practice Problem, Problem 4",,40,The answer choice c. is corrected from 9 2 to 15 4 .,,2025-11-20
2025-12-06,Geometry,Unit 3,Teacher Guide,"Check Your Readiness, Problem 1",,8,The statement next to the figure has been updated to BC ¯ ¯ ¯ ¯ ¯ ¯ ¯ ¯ ∥ AD ¯ ¯ ¯ ¯ ¯ ¯ ¯ ¯ .,,2025-11-25
2025-12-06,Geometry,Unit 3,Teacher Guide,"Section A, Lesson 3, Lesson Synthesis",,49,"In the second diagram, the length of the hypotenuse has been updated to 2x .",,2025-12-03
2025-12-06,Geometry,Unit 4,Teacher Guide,"Section A, Lesson 3, Lesson Synthesis",,49,"The second diagram has been updated to a hypotenuse of 2x , from 2 x .",,2025-12-05
2025-12-06,Geometry,Unit 6,Teacher Guide,"Section B, Lesson 5, Cool-down",,81,"The student response has been updated to Center: (-8, 1).",,2025-10-07
2025-12-06,Geometry,Unit 8,Teacher Guide,"Section A, Checkpoint A, Problem 1a",,16,The answers have switched places in 1a.,,2025-10-08
2025-12-06,Algebra 2,Unit 1,Teacher Guide,Instructional Routines,,,"All Instructional Routines in the orange box that are titled ""Fix It"" have been updated to ""Fit It""",,2025-08-19
2025-12-06,Algebra 2,Unit 1,Teacher Guide,"Section A, Lesson 3, Warm-up",,41,"The student task statement for the warm-up has been updated to: Consider the function 𝑓 given by 𝑓(𝑛) = 3𝑛 − 7. This function takes an input n, multiplies it by 3, then subtracts 7 to get an output 𝑓(𝑛).",,2025-09-03
2025-12-06,Algebra 2,Unit 1,Teacher Guide,"Section A, Lesson 4, Warm-up",,54,"The student task statement directions for A4 have been updated to say: In A4, type ""0.2""",,2025-10-29
2025-12-06,Algebra 2,Unit 1,"Student Workbook, Section A, Lesson 4, Warm-up",,,31,"The student task statement directions for A4 have been updated to say: In A4, type ""0.2""",,2025-10-29
2025-12-06,Algebra 2,Unit 1,"Student Workbook, Section A, Lesson 1, Warm-up",,,6,"Option C has been updated to 2, 1, 1 2 , 1 4 , 1 8 .",,2025-11-19
2025-12-06,Algebra 2,Unit 2,Teacher Guide,"Section A, Lesson 2, Activity 2",,34,"In the Access for Multilingual Learners box, MLR6: Three Reads has been updated to say ""See Launch""",,2025-08-20
2025-12-06,Algebra 2,Unit 2,Teacher Guide,"Section A, Lesson 2, Practice Problem 2",,40,"After the equation x=1+r , there should be a period instead of the multiplication symbol. The next sentence starts with $500.",,2025-08-20
2025-12-06,Algebra 2,Unit 2,"Student Workbook, Section A, Lesson 2, Practice Problem 2",,,19,"After the equation x=1+r , there should be a period instead of the multiplication symbol. The next sentence starts with $500.",,2025-08-20
2025-12-06,Algebra 2,Unit 2,"Student Workbook, Section D, Lesson 12, Activity 1",,,118-119,"The questions in Activity 1 have been renumbered 1, 2, 3, 4, not 4, 5, 6, 7.",,2025-08-20
2025-12-06,Algebra 2,Unit 2,Teacher Guide,"Section D, Lesson 13, Activity 1, Problem 2",,205,Problem 2 in Activity 1: The dividend is incomplete. It should be 2 x 2 −7 x 2 +x+10,,2025-08-20
2025-12-06,Algebra 2,Unit 2,Teacher Guide,"Section D, Lesson 13, Cool-down",,212,In the dividend it should show x 3 +10 x 2 +23x−132 . In the answer (quotient) it should read x 2 +21x+208 .,,2025-08-20
2025-12-06,Algebra 2,Unit 3,Teacher Guide,Table Of Contents And Section C,,1,"The title for Section C has been updated to Polynomial Identities, not Rational Functions.",,2025-08-21
2025-12-06,Algebra 2,Unit 3,Teacher Guide,"Lesson 10, Activity 2",,,"Question 1 student responses for the Student Task Statement in Activity 2 should be: Second day: 11,440; Third day: 10,067; Fourth day: 8,859.",,2025-08-21
2025-12-06,Algebra 2,Unit 4,Teacher Guide,"Section B, Lesson 7, Activity 2",,93,"In the Activity Synthesis, the first line of the partial algebraic solution is missing the () around x+3 . This has been updated to (x+3 ) 2 =4 .",,2025-09-24
2025-12-06,Algebra 2,Unit 4,"Student Workbook, Section C Lesson 15, Practice Problem",,,202,"In the practice problem, the first question, part G, the expression should be: 46i - 14 instead of - 46i - 14",,2025-11-26
2025-12-06,Algebra 2,Unit 4,Teacher Guide,End-of-unit Assessment (a),,270,"In problem 3, the answer key has been updated from C and G, to D and G.",,2025-12-02
2025-12-06,Algebra 2,Unit 5,"Student Workbook, Section A, Lesson 4, Practice Problems, Problem 4",,,40,The questions for this problem now refer to a truck instead of a car.,,2025-09-24
2025-12-06,Algebra 2,Unit 5,Teacher Guide,"Section A, Lesson 4, Practice Problems, Problem 4",,64,The questions for this problem now refer to a truck instead of a car.,,2025-09-24
2025-12-06,Algebra 2,Unit 5,Teacher Guide,"Section A, Lesson 3, Cool-down",,49,The title of the Cool-down has been updated to Shifting Sands.,,2025-09-24
2025-12-06,Algebra 2,Unit 5,"Student Workbook, Section C, Lesson 13, Practice Problems",,,126,"In the Learning Target, the e has been included in the statement.",,2025-09-24
2025-12-06,Algebra 2,Unit 5,Teacher Guide,"Section E, Lesson 22, Warm-up",,280,The function names have been updated in the Student Task Statement. A. a(x)=4⋅(0.75 ) x B. b(x)=4⋅ e (0.75x) C. c(x)=(0.75)⋅ 4 x D. d(x)=4⋅logx .,,2025-09-24
2025-12-06,Algebra 2,Unit 5,"Student Workbook, Section E, Lesson 22, Warm-up",,,183,The function names have been updated in the Student Task Statement. A. a(x)=4⋅(0.75 ) x B. b(x)=4⋅ e (0.75x) C. c(x)=(0.75)⋅ 4 x D. d(x)=4⋅logx .,,2025-09-24
2025-12-06,Algebra 2,Unit 5,Teacher Guide,"Section F, Lesson 23, Activity 2",,300,"In the Launch, the negative has been omitted from in front of log . It has been updated to -log .",,2025-09-24
